站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230604135614,11.4,1003.4,29,178,0.3,1.1,10389.9
58102,20230604135614,14.9,1000.1,85,132,8.4,0.4,10405.6
58118,20230604135614,18.5,1017.0,62,21,12.6,0.2,10449.5
58122,20230604135614,0.1,1022.1,81,102,6.7,0.2,10268.6
58203,20230604135614,18.6,1014.6,32,39,4.5,1.5,10353.2
58215,20230604135614,26.3,1001.9,54,50,14.8,0.1,10470.7
58221,20230604135614,0.4,1018.1,69,315,3.3,1.3,10436.3
58225,20230604135614,8.2,1006.3,77,216,11.4,0.8,10233.5
58236,20230604135614,17.8,1011.6,70,85,3.5,0.4,10289.4
58311,20230604135614,15.0,1007.9,54,53,3.0,0.6,10392.3
58314,20230604135614,8.5,1020.2,68,351,2.0,1.5,10468.6
58319,20230604135614,1.2,1010.7,16,56,2.2,1.1,10296.3
58321,20230604135614,23.0,1000.1,35,100,10.0,0.0,10220.2
58326,20230604135614,29.4,1015.8,35,147,2.4,0.4,10317.5
58336,20230604135614,7.3,1013.3,70,203,14.8,0.0,10408.8
58338,20230604135614,28.6,1012.5,74,206,9.4,0.0,10436.9
58414,20230604135614,19.8,1005.4,87,104,8.7,1.3,10437.7
58419,20230604135614,18.5,1013.2,63,306,13.7,0.5,10466.4
58424,20230604135614,24.3,1018.7,100,89,13.7,0.8,10255.7
58429,20230604135614,1.6,1000.6,100,348,8.1,1.2,10147.5
58436,20230604135614,23.9,1020.9,78,165,5.0,0.7,10104.4
58437,20230604135614,16.6,1025.3,26,189,6.7,0.8,10234.8
58520,20230604135614,18.4,1018.9,55,29,12.8,1.3,10457.0
58531,20230604135614,30.2,1016.3,43,175,2.9,0.9,10175.3
54406,20230604135614,28.8,1025.7,98,120,13.4,1.4,10261.6
54416,20230604135614,7.7,1005.2,87,178,3.2,0.4,10366.9
54511,20230604135614,31.0,1009.1,69,87,9.7,1.4,10053.3
58725,20230604135614,2.2,1007.7,67,144,5.0,1.2,10423.1
58730,20230604135614,16.7,1006.4,63,345,2.3,0.8,10282.7
58731,20230604135614,25.4,1001.3,24,296,8.2,1.0,10491.4
58734,20230604135614,32.2,1000.3,35,27,3.4,1.0,10436.8
58737,20230604135614,28.8,1000.1,3,130,10.5,0.8,10371.2
58744,20230604135614,25.1,1024.5,55,128,3.4,1.2,10255.3
58754,20230604135614,7.7,1024.0,73,259,11.9,1.1,10242.5
58818,20230604135614,32.4,1008.4,95,158,3.7,0.8,10320.4
58820,20230604135614,12.3,1019.5,12,328,6.3,0.1,10151.1
58834,20230604135614,10.0,1007.5,74,106,11.6,1.5,10169.6
58837,20230604135614,34.6,1026.2,2,214,2.8,0.1,10171.6
58843,20230604135614,10.6,1025.7,2,122,8.4,0.3,10498.0
58846,20230604135614,5.9,1012.6,11,19,6.3,0.6,10248.9
58847,20230604135614,18.9,1009.7,27,145,2.5,0.3,10319.5
58911,20230604135614,26.2,1014.7,40,95,12.9,0.4,10215.2
58918,20230604135614,13.7,1023.4,97,288,4.3,0.5,10046.6
58921,20230604135614,4.0,1018.5,37,233,7.3,1.4,10256.5
58926,20230604135614,7.3,1021.8,12,134,10.8,0.5,10141.7
58927,20230604135614,6.4,1004.0,85,108,12.2,0.3,10001.4
58931,20230604135614,27.4,1009.7,86,85,8.8,0.1,10324.8
58933,20230604135614,20.9,1005.8,90,169,13.0,0.5,10360.4
