站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230527115144,10.1,1026.2,4,326,10.3,1.4,10299.9
58102,20230527115144,24.0,1008.1,62,301,6.4,0.7,10073.5
58118,20230527115144,7.5,1018.7,13,216,10.2,0.2,10243.2
58122,20230527115144,6.9,1023.6,12,303,5.5,0.9,10431.5
58203,20230527115144,28.4,1002.3,40,149,7.7,0.2,10342.9
58215,20230527115144,28.2,1000.3,18,90,10.4,1.4,10158.0
58221,20230527115144,7.6,1025.5,15,125,7.4,1.0,10045.3
58225,20230527115144,3.0,1000.8,3,91,14.6,0.2,10459.1
58236,20230527115144,13.5,1015.7,64,309,5.0,1.4,10389.4
58311,20230527115144,5.6,1019.7,20,68,5.0,0.8,10199.9
58314,20230527115144,29.9,1013.1,56,97,3.3,0.9,10189.1
58319,20230527115144,0.1,1017.7,48,238,6.0,0.6,10414.8
58321,20230527115144,12.6,1020.8,65,241,11.5,0.3,10343.4
58326,20230527115144,27.5,1024.3,3,248,3.0,0.1,10417.2
58336,20230527115144,2.6,1002.4,40,9,12.7,1.0,10392.3
58338,20230527115144,22.7,1009.0,13,12,11.3,0.3,10191.6
58414,20230527115144,12.9,1004.3,81,274,8.1,0.8,10026.4
58419,20230527115144,20.7,1019.0,51,257,10.9,0.4,10214.4
58424,20230527115144,21.8,1009.7,26,324,8.8,0.1,10284.4
58429,20230527115144,29.0,1013.3,84,248,3.1,0.7,10040.8
58436,20230527115144,9.9,1009.8,64,181,12.2,1.2,10049.2
58437,20230527115144,34.1,1008.9,56,114,2.2,0.5,10310.4
58520,20230527115144,13.2,1014.5,41,44,8.7,1.0,10380.0
58531,20230527115144,7.5,1007.5,14,75,5.0,0.4,10203.4
54406,20230527115144,5.7,1006.8,29,75,5.4,0.7,10143.3
54416,20230527115144,33.5,1021.9,5,71,8.6,0.3,10031.5
54511,20230527115144,29.7,1021.2,10,13,7.9,0.2,10469.0
58725,20230527115144,17.9,1024.8,19,56,10.3,0.7,10253.2
58730,20230527115144,26.1,1021.7,68,355,2.7,0.7,10168.8
58731,20230527115144,22.8,1001.4,12,167,13.0,0.8,10473.7
58734,20230527115144,7.9,1018.9,78,338,4.6,0.6,10140.7
58737,20230527115144,5.4,1014.8,42,306,0.6,1.1,10015.8
58744,20230527115144,11.6,1016.6,35,225,12.8,0.6,10269.0
58754,20230527115144,29.8,1015.6,15,139,14.2,0.2,10453.5
58818,20230527115144,13.8,1011.9,91,233,7.5,0.3,10405.2
58820,20230527115144,32.7,1015.5,96,201,9.6,1.2,10234.6
58834,20230527115144,13.5,1016.6,43,234,14.8,1.2,10343.3
