站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230527115104,23.4,1019.1,74,188,12.9,1.3,10277.8
58102,20230527115104,0.8,1011.5,48,2,3.6,0.1,10470.9
58118,20230527115104,18.5,1013.3,79,83,9.4,0.0,10032.9
58122,20230527115104,9.5,1024.3,40,271,8.1,0.0,10105.3
58203,20230527115104,11.7,1012.0,33,270,10.2,0.5,10075.0
58215,20230527115104,34.5,1009.0,61,162,5.2,0.8,10036.2
58221,20230527115104,33.5,1026.2,81,241,8.2,0.6,10351.4
58225,20230527115104,33.0,1018.6,75,119,13.9,0.5,10347.8
58236,20230527115104,22.6,1007.1,79,190,8.1,0.2,10421.4
58311,20230527115104,7.5,1007.7,44,257,11.7,0.3,10209.3
58314,20230527115104,12.6,1011.0,37,281,9.4,0.0,10323.7
58319,20230527115104,32.4,1025.9,71,105,12.2,0.8,10228.7
58321,20230527115104,21.3,1013.7,20,294,11.8,0.1,10269.5
58326,20230527115104,10.0,1006.9,10,255,2.6,0.8,10288.6
58336,20230527115104,23.8,1014.1,84,58,12.7,1.1,10159.9
58338,20230527115104,19.1,1026.3,14,0,1.9,0.3,10370.7
58414,20230527115104,25.2,1012.0,16,184,14.4,1.0,10254.5
58419,20230527115104,13.6,1023.4,96,243,14.3,0.4,10291.0
58424,20230527115104,29.1,1023.0,3,230,7.3,1.4,10199.8
58429,20230527115104,32.3,1002.4,20,234,4.9,0.8,10439.2
58436,20230527115104,16.5,1009.4,85,201,0.1,0.7,10287.4
58437,20230527115104,21.4,1014.8,57,287,2.2,1.1,10105.6
58520,20230527115104,2.8,1009.9,22,191,2.1,0.8,10049.6
58531,20230527115104,10.1,1019.9,2,17,2.3,0.8,10389.3
54406,20230527115104,7.1,1005.8,99,245,8.0,0.2,10301.3
54416,20230527115104,18.3,1019.6,78,189,2.4,0.1,10477.6
54511,20230527115104,23.3,1012.9,60,135,0.0,0.5,10499.0
58725,20230527115104,21.4,1012.9,73,259,12.5,1.0,10098.1
58730,20230527115104,33.5,1018.8,41,55,10.7,1.4,10493.6
58731,20230527115104,15.1,1017.4,81,170,6.0,1.3,10287.3
58734,20230527115104,22.8,1005.4,89,272,13.5,1.1,10218.5
58737,20230527115104,6.1,1005.9,60,248,14.3,1.1,10001.8
58744,20230527115104,19.4,1019.4,96,251,5.8,1.5,10480.7
58754,20230527115104,15.1,1002.0,72,66,5.0,1.1,10215.3
58818,20230527115104,15.8,1013.5,29,135,5.7,0.0,10116.3
58820,20230527115104,3.0,1005.2,80,298,0.2,1.4,10063.0
